1,224,3,3,64,113,2,1.5,0.0,0.5023912989860791
2,56,64,1,16,56,1,0,0.1760123197513584,0.1520970857904850
3,56,16,1,64,56,1,0,0.1520970857904850,0.4752671570099223
4,56,16,3,64,56,1,1,0.1520970857904850,0.6239596037532305
5,56,128,1,16,56,1,0,0.5496133803815764,0.1890796344917836
6,56,16,1,64,56,1,0,0.1890796344917836,0.4938870371098926
7,56,16,3,64,56,1,1,0.1890796344917836,0.7277782853705609
8,28,128,1,32,28,1,0,0.2636045147056386,0.2268060582593427
9,28,32,1,128,28,1,0,0.2268060582593427,0.5297400552652065
10,28,32,3,128,28,1,1,0.2268060582593427,0.7152122580464818
11,28,256,1,32,28,1,0,0.6224761566558442,0.2795657985190829
12,28,32,1,128,28,1,0,0.2795657985190829,0.6051815143163597
13,28,32,3,128,28,1,1,0.2795657985190829,0.8525101383390203
14,14,256,1,48,14,1,0,0.4212896578071162,0.2685356204169979
15,14,48,1,192,14,1,0,0.2685356204169979,0.6381112509939040
16,14,48,3,192,14,1,1,0.2685356204169979,0.7791562444783104
17,14,384,1,48,14,1,0,0.7086337477361080,0.3294502054068378
18,14,48,1,192,14,1,0,0.3294502054068378,0.7206251311401183
19,14,48,3,192,14,1,1,0.3294502054068378,0.8642839542472831
20,14,384,1,64,14,1,0,0.7924545426937011,0.4677032947919424
21,14,64,1,256,14,1,0,0.4677032947919424,0.5400508392277363
22,14,64,3,256,14,1,1,0.4677032947919424,0.6969818188030082
23,14,512,1,64,14,1,0,0.6185163290153721,0.4308853614497748
24,14,64,1,256,14,1,0,0.4308853614497748,0.9186105169543469
25,14,64,3,256,14,1,1,0.4308853614497748,0.9494848263980921
26,14,512,1,1000,14,1,0,0.9340476716762195,0.2348718526371587
